"ACTIVITY";"AGE";"DERA_MEASURE";"FREQ";"GEO";"GEO_OBJECT";"NUMBER_EMPL";"PCS_ESE";"QUANTILE";"SEX";"UNIT_MEASURE";"WKTIME";"TIME_PERIOD";"OBS_VALUE"
"_T";"Y40T49";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E_LT5";"3";"_T";"_T";"FT";"_T";2023;140489.52
"G";"Y_GE60";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E10T19";"3";"_T";"M";"FT";"_T";2023;3402.6
"_T";"Y40T49";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E1000T1999";"3";"_T";"F";"FT";"_T";2023;28973.56
"M_N";"Y30T39";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E50T99";"3";"_T";"_T";"FT";"_T";2023;34456.96
"M_N";"_T";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"_T";"3";"_T";"M";"FT";"FT";2023;505207.24
"G";"_T";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E_LT5";"3";"_T";"_T";"FT";"_T";2023;78910.61
"_T";"_T";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E20T49";"3";"_T";"F";"FT";"PT";2023;17124.58
"J";"_T";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E20T49";"3";"_T";"_T";"FT";"PT";2023;2167.41
"M_N";"Y30T39";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E5T9";"3";"_T";"M";"FT";"_T";2023;12531.83
"_T";"Y_LT30";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E_GE5000";"3";"_T";"_T";"FT";"_T";2023;7480.1
"L";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E10T19";"3";"_T";"_T";"XDC";"_T";2023;4560.61
"I";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E20T49";"3";"_T";"M";"XDC";"_T";2023;3915.56
"G";"Y_LT30";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"3";"_T";"F";"XDC";"_T";2023;2991.1
"OTQ";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E250T499";"3";"_T";"M";"XDC";"_T";2023;4539.9
"M_N";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E100T249";"3";"_T";"M";"XDC";"_T";2023;5181.83
"C29_30";"Y30T39";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"3";"_T";"M";"XDC";"_T";2023;3861
"C_OTH";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E50T99";"3";"_T";"M";"XDC";"_T";2023;4910.98
"C26T28";"Y40T49";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"_T";"3";"_T";"_T";"FT";"_T";2023;41204.5
"J";"Y40T49";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E10T19";"3";"_T";"M";"FT";"_T";2023;7849.75
"G";"Y_LT30";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"_T";"3";"_T";"M";"FT";"_T";2023;22931.99
"C29_30";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E250T499";"3";"_T";"_T";"XDC";"_T";2023;4891.16
"_T";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E250T499";"3";"_T";"M";"XDC";"PT";2023;5256.3
"_T";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E20T49";"3";"_T";"F";"XDC";"FT";2023;3883.51
"_T";"Y50T59";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E10T19";"3";"_T";"F";"FT";"PT";2023;3284.16
"G";"Y50T59";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E250T499";"3";"_T";"_T";"XDC";"_T";2023;6525.06
"OTQ";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E20T49";"3";"_T";"F";"XDC";"_T";2023;3674.71
"G";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E100T249";"3";"_T";"F";"XDC";"_T";2023;4560.71
"J";"Y_GE60";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"_T";"3";"_T";"F";"XDC";"_T";2023;5322.57
"_T";"Y40T49";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E500T999";"3";"_T";"F";"FT";"FT";2023;35696.54
"_T";"Y50T59";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E_LT5";"3";"_T";"M";"FT";"PT";2023;2977.08
"J";"_T";"SALAIRE_NET_EQTP_MENSUEL_MOYENNE";"A";"F";"FRANCE";"E10T19";"3";"_T";"M";"XDC";"_T";2023;4360.62
"H";"Y_GE60";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E250T499";"3";"_T";"_T";"FT";"_T";2023;2284.65
"C_OTH";"_T";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E250T499";"3";"_T";"F";"FT";"_T";2023;13385.01
"K";"Y30T39";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E250T499";"3";"_T";"M";"FT";"_T";2023;4982.43
"_T";"Y40T49";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E10T19";"3";"_T";"_T";"FT";"PT";2023;5106.5
"G";"_T";"EFFECTIFS_EQTP";"A";"F";"FRANCE";"E20T49";"3";"_T";"F";"FT";"_T";2023;26326.06
